time,qdot_1,qdot_2,qdot_3,qdot_4,qdot_5,qdot_6
8.4,-0.22767865156721,0.120707969848053,-0.118592825412468,-0.000314452555807249,-0.0180553746489049,1.33171942155289e-11
8.45,-0.224646888122375,0.123485623955044,-0.122182866337567,-0.000332667152780751,-0.0185649649699663,-4.78425448046065e-11
8.5,-0.221289945523531,0.126160739802161,-0.125718293057059,-0.00034994046686857,-0.0190638808399768,1.18097296659782e-10
8.55,-0.217629070694539,0.128711663346239,-0.129190984919872,-0.000365964755221477,-0.0195511162710426,1.03978289466166e-10
8.6,-0.213676689795503,0.131128093059723,-0.13258276787794,-0.000380517316046846,-0.0200240031211384,1.1973701154068e-11
8.65,-0.209447628396168,0.133397549924095,-0.13587808252728,-0.000393510012549309,-0.0204803335258373,-1.12123709963426e-10
8.7,-0.204956854648131,0.135508046144239,-0.139061950390616,-0.000404855893739798,-0.0209179651083504,-7.61002524308262e-12
8.75,-0.200218983082732,0.137448039434169,-0.142120428810051,-0.000413810245187526,-0.0213347703662324,6.88357336922747e-12
8.8,-0.195247561533881,0.139205763155628,-0.145037414203175,-0.000421474617111007,-0.0217287990867917,1.2944251285962e-10
8.85,-0.190057626053481,0.140771775439137,-0.147799489601179,-0.000427508144807498,-0.0220981804588504,1.14017677931248e-10
8.9,-0.184666141881247,0.142140232541312,-0.150389914057184,-0.000431735636964816,-0.0224406588257427,-1.50657113033053e-10
8.95,-0.179092477892579,0.143308775476619,-0.152793523645917,-0.000434101132973425,-0.0227541669712274,5.16111572400776e-11
9,-0.173354291884078,0.144274761666052,-0.154998400875091,-0.000434600067683148,-0.0230371405645909,-6.20082919196916e-11
9.05,-0.167465534478133,0.145033371159384,-0.156994957645685,-0.000433241794430282,-0.0232883680525449,5.53089377206966e-11
9.1,-0.161434731731505,0.145580211576659,-0.158778443564694,-0.000429651219251912,-0.0235077167803525,-9.01592045841511e-11
9.15,-0.155284624877474,0.14590807999731,-0.160326186038698,-0.000424585364089876,-0.0236913903599399,-7.83813872549943e-11
9.2,-0.149019592960964,0.146018712784625,-0.1616416526764,-0.000417454035427781,-0.0238402908063071,-5.76588493832585e-11
9.25,-0.142656856176139,0.145913093001409,-0.16271675203925,-0.000409000706638827,-0.0239535403295047,7.02298671905054e-11
9.3,-0.136207328124557,0.14559220127666,-0.163538466514372,-0.000398662358056288,-0.0240294986698545,-1.06902778783498e-11
9.35,-0.129659744078979,0.14503098335785,-0.164118573288801,-0.000386864682405518,-0.0240704680145125,-4.02918556711889e-11
9.4,-0.123060459809544,0.144266830700456,-0.164427231220014,-0.000373563093934459,-0.0240719836143367,-8.8565651342715e-11
9.45,-0.116401346506144,0.143289388695767,-0.164465440433694,-0.000358369195640829,-0.0240348338688133,-5.33185639827253e-11
9.5,-0.10973216130816,0.142116623768575,-0.164244239267467,-0.000342029038120272,-0.0239599078760759,-2.59249337712646e-11
9.55,-0.102979739220645,0.140723507023511,-0.163734560162511,-0.000324172897317442,-0.0238445223892268,9.73341906616226e-11
9.6,-0.0962127500490475,0.139114890649687,-0.162979177929983,-0.000304922464463435,-0.0236941206966632,-2.33895471343707e-10
9.65,-0.0894118606157841,0.137309757883347,-0.161938093359682,-0.000284718823655086,-0.0235037574027432,9.02705339738556e-11
9.7,-0.0826157149985598,0.135315165693849,-0.160649916220701,-0.000263205222174796,-0.0232786587404776,-3.17833150269755e-12
9.75,-0.0758369346824564,0.133146805591261,-0.159069056754858,-0.000240890125805846,-0.0230130506882081,5.41257148279881e-11
9.8,-0.0690699279908422,0.130811643693851,-0.157240913805557,-0.000217387261075933,-0.0227133445460233,8.18507808495577e-11
9.85,-0.0622732173667709,0.128330647979442,-0.155158956647128,-0.000193111259881234,-0.0223786270634985,3.5990464874891e-11
9.9,-0.055487704610785,0.125671734277577,-0.152825585204218,-0.00016780236413288,-0.022009562003816,8.37231735768616e-11
9.95,-0.0487332652587446,0.122860190936811,-0.150261757035118,-0.000141922343687768,-0.021609260128033,1.19689524205538e-10
10,-0.0419972546323444,0.11990670966107,-0.147454345624443,-0.000115216830453808,-0.0211758557159921,-1.35455261270455e-10
10.05,-0.035291850184561,0.116823355789784,-0.144458378507581,-8.8125225824332e-05,-0.0207175244077428,9.00836126597238e-11
10.1,-0.0286136506593954,0.113625523663838,-0.141231964944047,-6.04182330480666e-05,-0.0202280462158469,8.58345802415169e-11
10.15,-0.0219710148725422,0.110319349207436,-0.137809648709427,-3.22323382225045e-05,-0.0197126224302147,6.06275626587937e-11
10.2,-0.0153683320805604,0.106918593584893,-0.134209399261867,-3.64912628707299e-06,-0.0191737770404968,1.14929424265037e-10
10.25,-0.00880814871142733,0.103431120147063,-0.130435568771975,2.52227693640808e-05,-0.0186121315126228,3.82860227065127e-11
10.3,-0.00229395299615459,0.0998678774398537,-0.12650491095288,5.44090196796098e-05,-0.0180301488290229,1.26018953574083e-10
10.35,0.0041687561794345,0.096242716377269,-0.122436144593577,8.37761605051799e-05,-0.0174304246007095,-9.91040239613008e-11
10.4,0.0105835621981345,0.092562780116073,-0.118237193165008,0.000113234379005678,-0.0168141013851061,-8.09669819039765e-12
10.45,0.0169328406764808,0.0888466910918942,-0.113939733224712,0.000142888289896718,-0.0161857434642636,-4.8974582834683e-11
10.5,0.023229423179401,0.0851021428394453,-0.10954697384413,0.000172454186781099,-0.0155456004937668,2.79406809209312e-10
10.55,0.0294736845513143,0.081340978117849,-0.105075038768421,0.000202056617769699,-0.0148959977575558,1.79650374904871e-12
10.6,0.035639349988657,0.0775790732040118,-0.100557594658371,0.000231491695006407,-0.014241687963933,-1.75060722020144e-10
10.65,0.0417334053496941,0.0738278774661491,-0.0960052673651076,0.000260800643320021,-0.0135840350464316,-8.22978504694914e-11
10.7,0.0477555332817307,0.0700979178846547,-0.0914339949353285,0.000289982020229597,-0.0129252270255993,-1.65168756050489e-10
